PO_Number,Date,Vendor_Name,Description,Quantity
060923-02,6/9/2023,PRECISE ROTARY DIE,P/N Y040407 SHAFT WITH HEAD | MATERIAL : 4140 AN 1ea | OD GRINDING TO 35f7 mm (1.3750 // 1.3755 /1.3760) 1.3755 +/-.0005 | NO SIDE TOUCH,1
060923-03,6/9/2023,PRECISE ROTARY DIE,P/N Y040408  SHORT SHAFT WITH HEAD | MATERIAL : 4140 AN 1ea | HEAT TREAT FIRST ONLY THE 1.378 DIM TO 50-56 Rc   (SAND BLAST AFTER) | OD GRINDING TO 35f7 mm (1.3750 // 1.3755 /1.3760) 1.3755 +/-.0005 | SIDE KISS  TO CLEAN UP,1
060923-04,6/9/2023,PRECISE ROTARY DIE,MATERIAL  : 4140  AN | N117348 SLEEVE 1ea | ID 170+ .205/+.165 mm (6.7005 //6.7000 // 6.6995) 6.7000 +/- .0005 100/ea,1
061019-01,6/10/2019,Belmont Plating,Material .  4140 AN | P/N 2584552 BUSING | Finish :  CAD PLATE Type 2 Class II 140 ea | SPEC QQ-P-416 | Certification  Required Please,140
061021-02,6/10/2021,PRECISE ROTARY DIE,P/N 12336982-3 WASHER | MATERIAL : 17-4 PH (Cond H1050) about 35Rc 180 ea | Grind flat to .032 +/- .002  both sides .45 c ea,180
061022-01,6/10/2022,"J&C Engineering Inc,",647W6501 SLIDE PALTE | MATERIAL :1095 BLUE STEEL 1ea | LASER CUT TO SIZE  PER PRINT 90$,1
061024-01,6/10/2024,PRECISE ROTARY DIE,P/N N064799 SHAFT | MATERIAL : 4140  56Rc 5 ea | 4 step grinding ALL  @ 3.2 Texture | OD  25e7 .9827 //.9823//.982)  @ 3.2Texture Price /ea 110/ea | OD 40e7  (1.5728 // 1.5723 // 1.5720 ) PLEASE CLEAN THE FLANGE .001 | OD 30h6  ( 1.1810  // 1.1808 // 1.1806 )  PLESE CLEAN THE FLANGE  BOTH SIDES .001 | 48 MM    1.189  +/- .002,5
061024-01,6/10/2024,"Expert Metal Finishing, Inc",NP/N N106857 GUIDE 65-45-12 DURABAR 1ea | PROTECTIV FINISH : | NO CERTS,1
061119-01,6/11/2019,PRECISE ROTARY DIE,MATERIAL  4140  (23 RC) P/N H319551 _GRINDING | 185g6 OD ALL OVER (AT 0.8 TESTURE)    7.2829/7.2817   || MID DIM (7.2823) || 1ea | 125H8 ID (AT 0.4 SURFACE TEXTURE 4.9237/4.9213  || MID 4.9225 || | 120H7 ID (AT 0.8 TEXTURE) 4.7258/4.7244  || MID 4.7253 ||,1
061121-01,6/11/2021,PRECISE ROTARY DIE,P/N N061985 PISTON | MATERIAL : 4140 PH  28 Rc 1 ea | 3 STEP  OD GRINDING | 90f7  (3.5419 // 3.5412 // 3.5405) @ 0.8 Texture 3.5412 +/- .0005 150/ea | 40e7 (1.5728 // 1.5723 // 1.5720) @0.8 Texture 1.5723 -.0003 AFTER CHROME | 30g7 (1.1808 // 1.1804 // 1.1800 ) @6.3 Texture 1.1804 +/ - .0004,1
061121-01,6/11/2021,PRECISE ROTARY DIE,P/N N061985 PISTON | MATERIAL : 4140 PH  28 Rc 1 ea | 3 STEP  OD GRINDING | 90f7  (3.5419 // 3.5412 // 3.5405) @ 0.8 Texture 3.5412 +/- .0005 150/ea | 40e7 (1.5718 // 1.5713 // 1.5710) @0.8 Texture 1.5713 -.0003 for chrome | 30g7 (1.1808 // 1.1804 // 1.1800 ) @6.3 Texture 1.1804 +/ - .0004,1
061125-01,6/11/2025,MEXICALI HARD CHROME Co,MATERIAL  : 4140PH | L708101 TIE BAR   (COMING FROM HOPKINS) | Hard Chrome Plate .0005  Wall  max,1
061217-01,6/12/2017,Automatic Anodizing,P/N 12364260 PISTON BRAKE | Finish ANODIZE SPEC. MIL-A-8625  TYPE 11 CLASS 1 850 ea | Size 1.99Dia x .78 X .65 ea | Certification | Scott please make cert for 1000 ea | NEED CERTIFICAT PLEASE !,1000
061219-01,6/12/2019,PRECISE ROTARY DIE,P/N 6W516901 BUSHING) | MATERIAL : 4140 AN 6 ea | PLEASE HARDEN TO 45-50 Rc BEFORE GRINDING | ID  22.07 //22.05 MM  (.8689 // .8681 ) .8685 +/- .0004 45/ea | OD 32p6 ( 1.2615 // 1.2612 // 1.2609 ) 1.2612 +/- .0003 | CONCENTRIC .0005 Max,6
061220-01,6/11/2020,PRECISE ROTARY DIE,P/N N013391 SHAFT (4 step grinding) | Material H13 -52 Rc 5 ea | 25e7 ( .9827 // .9823 // .9819 ) IN        .9823 + /- .0004 | 30g6 ( 1.1808 // 1.1806 // 1.1803 )        1.1806  +/- .0002 CLEAN SIDE ALSO .001/.002) 80/ea | 28g6 (1.1021 // 1.1018 // 1.1016)          1.1018    +/- .0002 | 20h6 (.7871 // .7869 // .7866 )            .7869 +/- .0003,5
061223-01,6/12/2023,DELTA GRINDING,N02477G03 | Material at 1.25 | Need OD Grinding  TO 1.1795 /1.1800 16 ea,16
061224-01,6/12/2024,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N  TMV0003  LINK PIN 3.15X11.81 4 ea | Test on the end with no hole /min grinding please | Quench and temper to   56 Rc   +/- 4 | No certs/Please call if they are not in the spec,4
061225-01,6/12/2025,Belmont Plating,"Material 4140  35 Rc | P/N 10952604  TURNBUCKLE BODY 1695 ea | Zinc plate  ASTM B633: TYPE II , CLASS FeZn8 | Cert required please",1695
061225-01,6/12/2025,Belmont Plating,"P/N  11629618 RETAINER ,SEAL | Finish : CAD PLATE  TYPE  2 CLASS  2 440 ea | SPEC   QQ-P-416 | Cert required please",440
061225-01,6/12/2025,Belmont Plating,"P/N  11627705 RING, RETAINER | Finish : CAD PLATE  TYPE  2 CLASS s 2 62 ea | SPEC   QQ-P-416 | Cert Required Please",62
061225-01,6/12/2025,Belmont Plating,"P/N  11627705 RING, RETAINER | Finish : CAD PLATE  TYPE  2 CLASS s 2 440 ea | SPEC   QQ-P-416 | Cert Required Please",440
061324-01,6/13/2024,Skild Plating Co.,Material  303SS | P/N  12663156 DISK REV-A 105 ea | FINISH 5.4.1 OF MIL-STD-171 | CERT REQUIRED PLEASE,105
061325-01,6/13/2025,PRECISE ROTARY DIE,P/N N072618 GUIDE | MATERIAL : DURABAR 1 ea | 2 STEP GRINDING | ID 85H7  (3.3478 // 3.3471 // 3.3465)          @ 0.4 Texture                3.3471 +/- .0005 100/ea | OD 135g6    (5.3144 // 5.3139 // 5.3134 )      @3.2  Ra Texture           5.3139+/-.0005,1
061417-01,6/14/2017,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  6R893601 PISTON | CASE HARDENING ALL OVER   1/16 DEEP TO Rc 56 2ea | Please test hardness at the Big end (Side not Diameter) | NO CERTS!,2
061418-01,6/14/2018,PRECISE ROTARY DIE,MATERIAL  : 1045 -25 Rc | TURNING  ONLY AND GRINDING PER PRINT | PLEASE KEEP THE GOLDEN MARKED DIMENSIONS,1
061418-01,6/14/2018,DELTA GRINDING,11628304 PISTON | Now at .257 in OD | Need OD Grinding  TO    0.2497 /0.2495 400 ea,400
061423-01,6/14/2023,Belmont Plating,"P/N  12690769-2  PIN, HINGE | Finish:  Per  ASTM B633 TYPE V or VI ,Class Fe/Zn 8 | with hexavalent chromium free trivalent post treatment | Hydrogen embrittlement relief required | Cert Required Please",224
061423-01,6/14/2023,Belmont Plating,"P/N  12690769-2  PIN, HINGE | Finish:  Per  ASTM B633 TYPE V or VI ,Class Fe/Zn 8 | with hexavalent chromium free trivalent post treatment | Hydrogen embrittlement relief required | Cert Required Please",224
061423-01,6/14/2023,PRECISE ROTARY DIE,MATERIAL  : 4140  AN | N117348 SLEEVE 2 ea | ID 170+ .205/+.165 mm (6.7005//6.7000 // 6.6995) 6.7000 +/- .0005 125/ea,2
061523-01,6/15/2023,"NOVA CHROME Inc,",Material 4140  -30-34 Rc | P/N :LS1087143 PIN | Finish : 1.2.2.2 of MIL-STD-171    MIN .0005 Thick 71 ea | CERT REQUIRED PLEASE,71
061523-01,6/15/2023,"NOVA CHROME Inc,",Material 4140  -45 Rc | 3 shafts | Finish 3 ea | Local Hard Chrome .0005 Max on 1.378 Diam only | NO CERTS,3
061523-03,6/15/2023,"NOVA CHROME Inc,",P/N N02477G03  TUBING | MATERIAL: 1026 | HARD CHROME | PLATING  .0005 WALL  HARD CHROME | ONLY ON THE OD  - NOT ON THE THREAD  AND  STEP IF POSSIBLE) 16 ea | NO CERTS,16
061621-01,6/16/2021,DELTA GRINDING,8351670  PIN | Need OD Grinding  TO .6880 /.6875  & 25 Texture 520 ea,520
061625-01,6/16/2025,F & S Complete Grinding,P/N N072618 GUIDE | MATERIAL : DURABAR (65-45-12) 1 ea | 2 STEP OD GRINDING | ID 85H7 (3.3478 // 3.3471 // 3.3465)     $0.4 Texture     (3.3471 +/- .0005) | OD 135g6 (5.3144 // 5.3139 //5.3134)  @3.2 Texture           5.3139 +/- .0005 | Concentric .00078  with  the 25 MM hole,1
061625-01,6/16/2025,HOPKINS MACHINE CORP,MATERIAL  : 1026 | P/N  8R002102 1 ea | Complete per print 340 OD x 280 ID x290 OD step x 97 MM long x M295 X4 | EXT THREAD X 24 MM long  with 12 wide X 3MM deep undercut for thread exit | Material coming form Specialty Pipe !,1
061719-01,6/17/2019,PRECISE ROTARY DIE,P/N N013391 SHAFT (4 step grinding) | Material H13 -52 Rc 5 ea | 25e7 ( .9827 // .9823 // .9819 ) IN   .9823 + /- .0004 | 30g6 ( 1.1808 // 1.1806 // 1.1803 )   1.1806  +/- .0002 80/ea | 28g6 (1.1021 // 1.1018 // 1.1016)   1.1018    +/- .0002 | 20h6 (.7871 // .7869 // .7866 )    .7869 +/- .0003,5
061719-02,6/17/2019,PRECISE ROTARY DIE,P/N N064705 PISTON | MATERIAL : 4140 AN 1ea | OD   119 (+0 /-.01)MM    (4.6850  // 4.682) 4.6835 +/- .0015 175/ea | 75e7mm (- .001 FOR CHROME) ((2.9494 // 2.9488 //2.94822 ) 2.9488 +/- .0005,1
061721-01,6/17/2021,PRECISE ROTARY DIE,MATERIAL  : 4140  PH 6S331301 SHAFT 2 ea | 2 OD GRINDINGS | 20js6 = (.7877/.7871) | 15js6= (05908/.5903),2
061724-01,6/17/2024,PRECISE ROTARY DIE,P/N 3W543601-EJECTOR  ROD | MATERIAL : 4140 28 Rc 2ea | 2 STEP GRINDING | 120e7 mm      ( 4.7206  /4.7192  )    for chrome plate 4.7200 -.0005 | 220e7 mm (8.6575 // 8.6565 // 8.6557 ) 8.6565 +/- .0005 225/ea | PLEASE FILE THE SHARP CORNERS  .005 | (Parts go to Chrome Plate please call when ready ),2
061724-01,6/17/2024,DELTA GRINDING,TMV0003 LINK PIN | MATERIAL  : 4140  50/56 Rc 4 ea | 80f7 -.030/-.06           (3.1484 // 3.1472) 3.1478 +/- .0005,4
061725-01,6/17/2025,GENERAL  SURFACE  HARDENING,MATERIAL  :52100 ANN | P/N 7707842 ROLLER 6100 ea | Quench and temper to 60-64 Rc | CERTIFICATION REQUIRED,6100
061820-01,6/18/2020,DELTA GRINDING,11593708 PIN | Need OD Grinding  TO  .186 /.188 185 ea,185
061824-01,6/18/2024,"NOVA CHROME Inc,",LOCAL  HARD CHROME ON THE CANTER ONLY BETWEEN THE 2 V GROOVES | .0005 WALL (TIDE DIMENSION) PLEASE KEEP IT CLOSE | No certs,1
061825-02,6/18/2025,HOPKINS MACHINE CORP,MATERIAL  :4150 PH (supplyed by Advanced) | P/N  L708101 TIE BAR  145 Rd x3258 mm long  (145 X6 THREAD w 0.6 Rad) 1 ea | Grinding included | Wood box,1
061919-01,6/19/2019,"NOVA CHROME Inc,",P/N N064705 PISTON | MATERIAL: 4140 52 Rc | HARD CHROME  LOCALLY ONLY  (PER DWG  N064705 PISTON) 1 ea | .0004 to .0006 THICK (per side) | NO CERTS,1
061919-01,6/17/2019,PRECISE ROTARY DIE,P/N Y095821 SHAFT | Material 4140 AN 2 ea | 35h6  ( 1.3780 //1.3776 // 1.3773 )in                                         1.3776 +/- .0003 | 30h6 ( 1.1811 // 1.1808 // 1.1806) in                                         1.1808 +/- .0002 80/ea,2
061924-02,6/19/2024,PRECISE ROTARY DIE,MATERIAL  :A36 | P/N Y012763 NUT 2 ea | .010 Stock please gring about .005 per side 75/ea | FINAL DIMENSION   3.740  +/- .001,2
061925-01,6/19/2025,PRECISE ROTARY DIE,P/N N045969  PISTON | MATERIAL : 4140 AN 1 ea | 3 STEP  OD GRINDING | 85e7  ( 3.3436 // 3.3429 // 3.3422 ) 3.3429 +/- .0005 125/ea | 25e7  ( .9817 // .9813 // .9810 ) .9813 +/- .0003 | 24.9 /24.8  (.980  / .977 )   X 4.51 FROMM SMALL END .9785   +/- .001,1
061925-02,6/19/2025,PRECISE ROTARY DIE,P/N N064799 SHAFT | MATERIAL : 4140  56Rc 8 ea | 4 step grinding ALL  @ 3.2 Texture | OD  25e7 .9827 //.9823//.982)  @ 3.2Texture Price /ea 110/ea | OD 40e7  (1.5728 // 1.5723 // 1.5720 ) PLEASE CLEAN THE FLANGE .001 | OD 30h6  ( 1.1810  // 1.1808 // 1.1806 )  PLESE CLEAN THE FLANGE  BOTH SIDES .001 | 48 MM    1.889  +/- .002,8
062019-01,6/20/2019,DELTA GRINDING,10920712 SHAFT | Need OD Grinding  TO .748 In Diam +/- .0005 110 ea,110
062019-02,6/20/2019,"Expert Metal Finishing, Inc",P/N : 10920712 SHAFT | Material : 1018 | FINIS:  PHOSPHATE TYPE Z CLASS 1 | SPEC MILL-P-16232 110 ea | Certs Required Please,110
062022-01,6/20/2022,PRECISE ROTARY DIE,P/N N054089 SLEEVE | MATERIAL : 4140 PH 1 ea | 4 step grinding | OD 75g6  (2.9524 // 2.9520 // 2.9516 )  @ 0.8 Texture 150/ea | OD 65g6  (2.5587 // 2.5583 // 2.5579 )  @ 0.8 Texture  0.0002 CONCENTRIC WITH 75g6 | ID 43H6 (1.6935 // 1.6932 // 1.6929 )  @ 0.4 Texture                            1.6932   +/- .0003 | ID 35 MM  (1.379 // 1.3780 // 1.377)  @ 0.8 Texture | Need 2 RUSH please,1
062023-01,6/20/2023,T K Precision Grinding,MATERIAL  : 1045 AN | N028752 PISTON 1ea | 140f7 (5.5100  // 5.5093 // 5.5083 )   @3.2  µm  texture                      5.5093 +/-.0007 in 5.5093 +/-.0005 | 110f7 (4.3293 // 4.3286 // 4.3279 )  @ 1.6 µm  texture  with side kiss to clean up 4.3286 +/-.0005 | Both ends (part is not symetrical ) one side is    2.087 one 2.008,1
062024-01,6/20/2024,Skild Plating Co.,Material  303 SS | P/N  12663372 NOZZLE 148 ea | FINISH  5.4.1 of MIL-STD 171 | CERT REQUIRED PLEASE,148
062024-01,6/20/2024,Skild Plating Co.,Material  304 SS | P/N  12279017 SPACER 1057 ea | FINISH 5.4.1 OF MIL-STD-171 | CERT REQUIRED PLEASE,1057
062025-01,6/20/2025,"NOVA CHROME Inc,",N045969 -PISTON ROD 1 ea | LOCAL  HARD CHROME ON THE SMALL DIA CLOSE TO THE HEAD  ONLY  (PER PRINT ) | About .0004 /.0005 thick wall | No certs,1
062025-01,6/20/2025,GENERAL  SURFACE  HARDENING,MATERIAL  :1045 CF | P/N 12446223 PISTON VALVE 180 ea | Quench and temper to 32-38 Rc | CERTIFICATION REQUIRED,180
062117-01,6/20/2017,PRECISE ROTARY DIE,P/N Y012556 | MATERIAL : 4140 PH (28 Rc) 2 ea | Grinding | Only OD 120g6 | ID  120g6  (4.7239  // 4.7235  // 4.7231 )     4.7235 +/- .0004,2
062122-01,6/21/2022,GENERAL  SURFACE  HARDENING,MATERIAL  :4140 AN | P/N PS1086876 BUSHING 75 ea | Quench and temper to 34 Rc +/-2 | CERTIFICATION REQUIRED!,75
062123-01,6/21/2023,GENERAL  SURFACE  HARDENING,"Please test on Marked end   B ,AAM with no grinding if possible | MATERIAL  : H13 | P/N  N109733 SLEEVE 1 ea | Quench and temper to 22-26 Rc | No certs",1
062124-01,6/21/2024,"NOVA CHROME Inc,",(ASAP PLEASE)  NEED BY 26th  AM PLEASE CHARGE FOR RUSH IF YOU HAVE TO | MATERIAL  :  3W543601 PISTON | HARD CHROME ON THE 120 MM diam ONLY   (.0005 thick wall) | (PLEASE SEE DWG -CHROME ON YELLOW MARK ONLY) 2 ea | M16X2  THE HEAD SIDE  / M12X1.75 THREAD SIDE | No certs,2
062217-03,6/22/2017,PRECISE ROTARY DIE,P/N N104842 SLEEVE Finishing | Material 4140 PH 1ea | Finish | Except Milling and taps | NOTE: MATERIAL IT IS VERY EXPENSIVE … ),1
062218-01,6/22/2018,"Expert Metal Finishing, Inc",P/N :10888335-01LINK | MATERIAL - 1018 STEEL | CERTIFICATION REQUIRED PLEASE,202
062218-02,6/22/2018,PRECISE ROTARY DIE,MATERIAL  : 304 SS  (NOW AT 1.200 THICK) | GRIND TO 1.1800  +/- .001 THICK | NOTE: ONE PLATE HAS A MARK (PLESE PLACE THAT SIDE FIRST TO CLEAN UP),2
062218-02,6/22/2018,PRECISE ROTARY DIE,MATERIAL  : 304 SS  (NOW AT 1.200 THICK) | GRIND TO 1.1800  +/- .001 THICK | NOTE: ONE PLATE HAS A MARK (PLESE PLACE THAT SIDE FIRST TO CLEAN UP),2
062222-01,6/22/2022,PRECISE ROTARY DIE,P/N N107308  PISTON | MATERIAL : 4140 - PH 1 ea | 150e7  (5.9022 // 5.9015 // 5.9006  ) OD   5.9015  IN  +/- .0005 175/ea | 80e7  (3.1468 // 3.1465 // 3.1462 ) 3.1465  +.0003/- .0003 | NO SIDE TOUCH (ALREADY IN SIZE ) | Remove sharp corners & burs to about .005/.010 please,1
062222-02,6/22/2022,PRECISE ROTARY DIE,P/N N107308  PISTON | MATERIAL : 4140 - PH 1 ea | ID ONLY | (please indicate OD  2 points-CLOSE TO CHUCK AND END keep same runout) 100/ea | 150.00 mm/150.04 mm  (5.9071 /5.9055)           @ 0.6 Ra                       5.9063 +/- .0007,1
062223-01,6/22/2023,T K Precision Grinding,P/N N064799 SHAFT | MATERIAL : 4140  56Rc | 3 step grinding ALL  @ 3.2 Texture | OD  25e7 .9827 //.9823//.982)  @ 3.2Texture | OD 40e7  (1.5728 // 1.5723 // 1.5720 ) PLEASE CLEAN THE FLANGE .001 | OD 30h6  ( 1.1810  // 1.1808 // 1.1806 )  PLESE CLEAN THE FLANGE  BOTH SIDES .001,3
062316-01,6/23/2016,PRECISE ROTARY DIE,N070781 PISTON (REPEAT ) | MATERIAL  CAST IRON 1 ea | 2 OD GRIINDINGS | 240e7 (9.4448 / 9.4431)  MID DIM   [9.4440] | 150e7 (5.9022 / 5.9006) MID DIM [5.9015] 375/ea,1
062317-01,6/22/2017,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N  Y069318 | HEAt TREAT TO 28 Rc +/- 2 | NO CERTS!,7
062317-02,6/20/2017,PRECISE ROTARY DIE,P/N 6R893601 POPPET | MATERIAL : 4130 -56 Rc 1 ea | 3 STEP Grinding | 99.4h7 (3.9134 // 3.9123 //  3.9113 )  ( 3.9123 +/- .001 | 40f7 (1.5738 //1.5733 //1.5728 )   1.5733 +/- .0005 | Critical Dim  .0001 tolerance | 89.99 /89.985  (3.5429 // 3.5427 )        3.5428   +/- .0001,1
062322-01,6/23/2022,"NOVA CHROME Inc,",MATERIAL  :N107308 PISTON | ONLY ON THE 80 MM DIAM  BETWEEN HEAD AND THREAD | NOTE : Hope you can chuck the small plug in the thread and please mask well | so I can take the plug out after plating | No certs,1
062322-01,6/23/2022,"NOVA CHROME Inc,",MATERIAL  :N107308 PISTON | ONLY ON THE 80 MM DIAM  BETWEEN HEAD AND THREAD | NOTE : Hope you can chuck the small plug in the thread and please mask well | so I can take the plug out after plating | No certs,1
062323-01,6/23/2023,HOPKINS MACHINE CORP,MATERIAL  :4140 PH | P/N  388W4512 ROD 8 qty | DRILL HOLE THRU ROD .433/.437 $260 ea | Overlap needs to be <70% for 6mm wire. CALL IF HOLE FAILS,260
062325-01,6/23/2025,Automatic Anodizing,"P/N 7003005 SPACER | Material -6061 T6 120 ea | Finish : PER MIL-DTL-5541 TYPE II ,CLASS 1A | Certification required | NEED CERTIFICATION PLEASE !",120
062419-01,6/24/2019,GENERAL  SURFACE  HARDENING,MATERIAL  :4140 AN | P/N  H319551 SEAT | HEAT TREAT TO 21-25 Rc                    (23Rc +/- 2) | NO CERTS (Thank you),5
062421-01,6/24/2021,DELTA GRINDING,2531789 PIN | Now at .375 | Need OD Grinding  TO .3740 /.3730 120 ea,120
062422-01,6/24/2022,DELTA GRINDING,P/N 10607499 PIN | Material 304 SS 770 ea | Need OD Grinding  TO .4665   +/- .001,770
062424-01,6/24/2024,DELTA GRINDING,Y081769 PISTON ROD | MATERIAL  : 4140  AN 2 ea | 35f8 mm         (1.3760 // 1.3752 // 1.3744 ) 1.3752 +/- .0005,2
062519-01,6/25/2019,PRECISE ROTARY DIE,P/N 307S4001 HOLDER | Material 4140 AN 1 ea | 100N7 mm ( 3.9366 // 3.9359  // 3.9352 )                      3.9360 +/- .0005,1
062521-01,6/25/2021,PRECISE ROTARY DIE,MATERIAL  : 4140  PH | N037296-SEAT  (Please case harder first) 1 ea | PLEASE CASE HARDEN THE SMALL ID CORNER ONLY 2.352 now to 35 /40 Rc With Oil | ID   60+/- .02      ( 2.3629 // 2.3614 ) 2.3622 +/- .0005 150 /ea | OD 110g6 (4.3302 //4.3298 //4.3294 ) 4.3298 +/- .0004 | OD 115g6           (4.5271 //4.5267 //4.5262 )                                      4.5267 +/- .0004,1
062521-01,6/25/2021,"Expert Metal Finishing, Inc",P/N :2531789 PIN | MATERIAL 4130  CASE HARDENED TO 265-290 BRINELL | PHOSPHATE TYPE M PER MIL-P-16232  (Please add max coating …we need to increase the size about .005 to  .001) | (Please add max coating …we need to increase the size about .0005 to  .001)- do not mention on the cert | FINISH WITH DRAYING TYPE PRESERVATIVE OIL | CERTIFICATION REQUIRED,120
062522-01,6/25/2022,GENERAL  SURFACE  HARDENING,MATERIAL  :4140 AN | P/N LS1087143 PIN 71 ea | Quench and temper to 32 Rc +/-2 | CERTIFICATION REQUIRED!,71
062524-01,6/25/2024,"NOVA CHROME Inc,",(ASAP PLEASE) | MATERIAL  :  Y081769 PISTON  ROD | HARD CHROME ON THE 35 MM diam ONLY   (.0005 thick wall) | (PLEASE SEE DWG -CHROME ON YELLOW MARK ONLY) 2 ea | No certs,2
062617-01,6/26/2017,Automatic Anodizing,RUSH PLEASE (FOR TOMORROW IF POSSIBLE) | P/N 2600650 BELLCRANK | Finish : HARD  ANODIZE  TYPE 3  CLASS 1  -   .001 IN  THICK  per side 50 ea | Size 1.99Dia x .78 125/LOT | Certification | NEED CERTIFICAT PLEASE !,50
062618-01,6/26/2018,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 an | P/N  N048534 POPPET 1 ea | CASE HARDENED TO 52 Rc +/-2 by  1/16 deep minimum | NO CERTS!,1
062618-02,6/26/2018,GENERAL  SURFACE  HARDENING,RUSH  PLEASE (NEXT DAY IF POSSIBLE PLEASE) | MATERIAL  : 17-4 PH   (Measured by lot  at 43 Rc) | P/N 20521751 WASHER 160 ea | Drawing asks for  (H1025) 36 to 42 Rc | PLEASE TEST HARDNESS FIRST | IF IT IS IN THE 36-42 Rc please make certs as it was hardened by you | CERTIFICATION REQUIRED PLEASE !,160
062620-01,6/26/2020,GENERAL  SURFACE  HARDENING,MATERIAL  :8620 AN | P/N 8351670 PIN 222 ea | CORE HERDNESS 20 Rc Min | CASE HARDEN 60Rc Min x .035-.045 Deep | CLEANED AFTER TREATMENT PLEASE | CERTIFICATION REQUIRED,222
062622-02,9/26/2022,DELTA GRINDING,12274768 PIN | Need OD Grinding  TO  .873 +/-.001 84 ea | Note:,84
062623-01,6/26/2023,PRECISE ROTARY DIE,P/N S190602 GUIDE BAR | MATERIAL : 1045 AN | OD 50f8   (1.9665  // 1.9658 // 1.9650 ) 1.9658 +/- .0005,20
062623-02,6/26/2023,Rockford Heat Treaters,MATERIAL  :H13  @ 25-35  Rc | P/N  N109733 SLEEVE 2 ea | Gas Nitride to 950 HV by .005 - 0.01 - deep | NO CERTS JUST THE DELIVERY TICKET WITH THE TESTING RESULTS,2
062718-01,6/27/2018,Rockford Heat Treaters,"MATERIAL  :17-4 PH  AN to 33-34 Rc | The 3/4"" diameter 17-4PH stainless steel rod (3394T213) you received is annealed 160 ea | Need to be Heat treated to Cond H-1025  (Customer spcified  35-42 Rc) | Please stay in between 36 and 40 Rc   Optimal (Rc 38 +/- 2) | CERTIFICATION REQUIRED PLEASE",160
062723-03,6/27/2023,"NOVA CHROME Inc,",P/N S190602 GUIDE | MATERIAL: 1045 | HARD CHROME | PLATING  .0005 WALL  Max HARD CHROME | ONLY ON THE OD  - NOT on  STEP and ID M16X2  Thread IF POSSIBLE) 2 ea | NO CERTS,2
062817-01,6/28/2017,ATOMOWELD INC,MATERIAL  :1018 | N040214 BRACKET | 3/16 to 1/4 In welding  in between the tapped holes and at the bottom plate | Please make sure the bottommplate it is well placed in  (that my be sliding out a little),2
062817-01,6/27/2017,Automatic Anodizing,RUSH PLEASE (FOR TOMORROW IF POSSIBLE) | P/N 2584863 HANDLE | Finish : ANODIC COATING TYPE II CLASS 1 55 ea | MIL-A-8625 | Certification | NEED CERTIFICAT PLEASE !,55
062817-01,6/27/2017,Automatic Anodizing,RUSH PLEASE (FOR TOMORROW IF POSSIBLE) | P/N 2584863 HANDLE | Finish : ANODIC COATING TYPE II CLASS 1 55 ea | MIL-A-8625 | Certification | NEED CERTIFICAT PLEASE !,55
062818-01,6/28/2018,PRECISE ROTARY DIE,P/N N066879 POPPET | MATERIAL : 4140 PH  280 Rc 1 ea | 3 STEP  OD GRINDING | 130e7  (5.1148 // 5.1140 //5.1132) 5.1140 +/- .0005 100/ea | 45e7 (1.7697 // 1.7692 // 1.7687 ) 1.7692 +/- .0005 | 45 -.1 /-.2   (JUST CLEAN UP TO  1.766 / 1.764  NOT LESS THAN 1.764 ) | RUSH please,1
062819-01,6/28/2019,Belmont Plating,"Material :  1018 | P/N 10903784 COVER | FINIS  : CADMIUM PLAT CLASS I ,TYPE II 117 ea | Cert Required Please",117
062822-01,6/28/2022,PRECISE ROTARY DIE,P/N 388W4512 | MATERIAL : 4140 - PH 1 ea | OD GRINDING TO 1.649/1653  @ 6.3 Texture 1.651 +/- .002 200/ea,1
062822-01,6/28/2022,DELTA GRINDING,Need OD Grinding  TO 1.6530 /1.6490       @ 6.3 Texture                            1.651+/-.002,8
062822-03,6/28/2022,PRECISE ROTARY DIE,P/N LS1086876 SHAFT 74 ea | MATERIAL : 4140 - PH  34 Rc | 2 step OD GRINDING | OD GRINDING TO  @ 3.2 TEXTURE (Now 1.385) 1.3740+/- .0007 | 2nd  STEP                       @3.2 TEXTURE (Now .884) .7746 +/- .0005,74
062921-01,6/29/2021,GENERAL  SURFACE  HARDENING,MATERIAL  :4140 AN | P/N  N064799 SHAFT 6 ea | Harden to 45 Rc +/- 2 | No certs,6
063022-01,6/30/2022,GENERAL  SURFACE  HARDENING,MATERIAL  :4130 AN | P/N 684V1701 POPPET 2ea | PLEASE MASK THE 2 O RING GROOVES PER PRINT | CASE HARDEN ALL OVER TO 56 +/- 2 Rc | NO CERTS!,2
070122-01,7/1/2022,PRECISE ROTARY DIE,P/N N024127 SHAFT 2 pcs | MATERIAL :420 SS - 35 Rc | 3 STEP GRINDING | 15 mm  ( .590 +/- .001) 0.590 +/- .001 | 25e7 mm (0.9827 // .9823 // .9819) 0.9823 +/- .0004 | 13e7 mm   (.5106 // .5102 // .5098 )                                     .5102 +/- .0004 125/ea,2
